model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 22:16:04,0.0024,Distributive,,,98.0
Wisard,2025-01-22 22:16:04,0.0027,Gaussian,,,96.67
Wisard,2025-01-22 22:16:04,0.0020,Linear,,,99.33
Wisard,2025-01-22 22:16:04,0.0033,Scatter Code,10,20,91.33
Wisard,2025-01-22 22:17:46,0.0046,Distributive,,,97.33
Wisard,2025-01-22 22:17:46,0.0037,Gaussian,,,98.0
DWN,2025-01-22 22:17:46,0.0035,Linear,,,98.0
DWN,2025-01-22 22:17:46,0.0047,Scatter Code,10,20,93.33
DWN,2025-01-22 22:19:37,0.0063,Distributive,,,96.67
DWN,2025-01-22 22:19:37,0.0018,Gaussian,,,98.0
DWN,2025-01-22 22:19:37,0.0015,Linear,,,98.0
Wisard,2025-01-22 22:19:37,0.0040,Scatter Code,10,40,94.0
Wisard,2025-01-22 22:22:18,0.0029,Distributive,,,98.0
Wisard,2025-01-22 22:22:18,0.0031,Gaussian,,,98.67
Wisard,2025-01-22 22:22:18,0.0027,Linear,,,98.0
Wisard,2025-01-22 22:22:18,0.0062,Scatter Code,10,60,95.33
Wisard,2025-01-22 22:25:53,0.0061,Distributive,,,98.0
Wisard,2025-01-22 22:25:53,0.0052,Gaussian,,,98.0
Wisard,2025-01-22 22:25:53,0.0035,Linear,,,98.0
Wisard,2025-01-22 22:25:53,0.0103,Scatter Code,10,80,95.33
Wisard,2025-01-22 22:30:18,0.0042,Distributive,,,93.33
Wisard,2025-01-22 22:30:18,0.0036,Gaussian,,,96.67
Wisard,2025-01-22 22:30:18,0.0031,Linear,,,97.33
Wisard,2025-01-22 22:30:18,0.0114,Scatter Code,10,100,94.67
Wisard,2025-01-22 22:35:46,0.0052,Distributive,,,97.33
Wisard,2025-01-22 22:35:46,0.0028,Gaussian,,,98.0
Wisard,2025-01-22 22:35:46,0.0027,Linear,,,96.67
Wisard,2025-01-22 22:35:46,0.0107,Scatter Code,10,120,94.67
Wisard,2025-01-22 22:41:56,0.0018,Distributive,,,94.0
Wisard,2025-01-22 22:41:56,0.0017,Gaussian,,,98.0
Wisard,2025-01-22 22:41:56,0.0016,Linear,,,98.0
Wisard,2025-01-22 22:41:56,0.0086,Scatter Code,10,140,94.67
Wisard,2025-01-22 22:48:56,0.0035,Distributive,,,96.67
Wisard,2025-01-22 22:48:56,0.0027,Gaussian,,,94.67
Wisard,2025-01-22 22:48:56,0.0029,Linear,,,95.33
Wisard,2025-01-22 22:48:56,0.0158,Scatter Code,10,160,94.67
Wisard,2025-01-22 22:56:18,0.0040,Distributive,,,97.33
Wisard,2025-01-22 22:56:18,0.0040,Gaussian,,,96.0
Wisard,2025-01-22 22:56:18,0.0029,Linear,,,98.67
Wisard,2025-01-22 22:56:18,0.0182,Scatter Code,10,180,95.33
Wisard,2025-01-22 23:04:35,0.0042,Distributive,,,97.33
Wisard,2025-01-22 23:04:35,0.0027,Gaussian,,,98.0
Wisard,2025-01-22 23:04:35,0.0024,Linear,,,97.33
Wisard,2025-01-22 23:04:35,0.0193,Scatter Code,10,200,94.0
Wisard,2025-01-22 23:13:49,0.0029,Distributive,,,94.67
Wisard,2025-01-22 23:13:49,0.0030,Gaussian,,,99.33
Wisard,2025-01-22 23:13:49,0.0034,Linear,,,96.0
Wisard,2025-01-22 23:13:49,0.0037,Scatter Code,20,20,97.33
Wisard,2025-01-22 23:15:29,0.0021,Distributive,,,97.33
Wisard,2025-01-22 23:15:29,0.0022,Gaussian,,,98.67
Wisard,2025-01-22 23:15:29,0.0018,Linear,,,98.67
Wisard,2025-01-22 23:15:29,0.0040,Scatter Code,20,40,94.0
Wisard,2025-01-22 23:18:00,0.0022,Distributive,,,96.0
Wisard,2025-01-22 23:18:00,0.0020,Gaussian,,,96.67
Wisard,2025-01-22 23:18:00,0.0129,Linear,,,98.67
Wisard,2025-01-22 23:18:00,0.0071,Scatter Code,20,60,96.0
Wisard,2025-01-22 23:21:28,0.0030,Distributive,,,96.0
Wisard,2025-01-22 23:21:28,0.0021,Gaussian,,,93.33
Wisard,2025-01-22 23:21:28,0.0025,Linear,,,98.0
Wisard,2025-01-22 23:21:28,0.0068,Scatter Code,20,80,94.67
Wisard,2025-01-22 23:28:33,0.0049,Distributive,,,97.33
Wisard,2025-01-22 23:28:33,0.0025,Gaussian,,,96.0
Wisard,2025-01-22 23:28:33,0.0020,Linear,,,96.67
Wisard,2025-01-22 23:28:33,0.0093,Scatter Code,10,20,93.33
Wisard,2025-01-22 23:28:34,0.0021,Distributive,,,96.67
Wisard,2025-01-22 23:28:34,0.0020,Gaussian,,,99.33
Wisard,2025-01-22 23:28:34,0.0026,Linear,,,98.67
Wisard,2025-01-22 23:28:34,0.0026,Scatter Code,10,20,94.67
Wisard,2025-01-22 23:28:35,0.0027,Distributive,,,96.67
Wisard,2025-01-22 23:28:35,0.0019,Gaussian,,,98.67
Wisard,2025-01-22 23:28:35,0.0025,Linear,,,98.67
Wisard,2025-01-22 23:28:35,0.0053,Scatter Code,10,40,92.67
Wisard,2025-01-22 23:28:36,0.0047,Distributive,,,96.67
Wisard,2025-01-22 23:28:36,0.0036,Gaussian,,,96.0
