model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 22:17:41,0.0090,Distributive,,,89.72
Wisard,2025-01-22 22:17:41,0.0064,Gaussian,,,84.11
Wisard,2025-01-22 22:17:41,0.0057,Linear,,,77.1
Wisard,2025-01-22 22:17:41,0.0202,Scatter Code,10,20,38.32
Wisard,2025-01-22 22:19:30,0.0071,Distributive,,,92.52
Wisard,2025-01-22 22:19:30,0.0058,Gaussian,,,85.98
Wisard,2025-01-22 22:19:30,0.0059,Linear,,,76.17
Wisard,2025-01-22 22:19:30,0.0183,Scatter Code,10,20,38.32
Wisard,2025-01-22 22:22:14,0.0047,Distributive,,,88.32
Wisard,2025-01-22 22:22:14,0.0047,Gaussian,,,84.11
Wisard,2025-01-22 22:22:14,0.0038,Linear,,,78.5
Wisard,2025-01-22 22:22:14,0.0240,Scatter Code,10,40,38.32
Wisard,2025-01-22 22:25:48,0.0101,Distributive,,,88.32
Wisard,2025-01-22 22:25:48,0.0080,Gaussian,,,85.51
Wisard,2025-01-22 22:25:48,0.0060,Linear,,,72.9
Wisard,2025-01-22 22:25:48,0.0426,Scatter Code,10,60,38.32
Wisard,2025-01-22 22:30:13,0.0077,Distributive,,,88.32
Wisard,2025-01-22 22:30:13,0.0094,Gaussian,,,83.64
Wisard,2025-01-22 22:30:13,0.0071,Linear,,,74.3
Wisard,2025-01-22 22:30:13,0.0508,Scatter Code,10,80,37.85
Wisard,2025-01-22 22:35:41,0.0058,Distributive,,,87.85
Wisard,2025-01-22 22:35:41,0.0049,Gaussian,,,83.18
Wisard,2025-01-22 22:35:41,0.0052,Linear,,,74.77
Wisard,2025-01-22 22:35:41,0.0557,Scatter Code,10,100,38.32
Wisard,2025-01-22 22:41:51,0.0079,Distributive,,,89.72
Wisard,2025-01-22 22:41:51,0.0066,Gaussian,,,85.98
Wisard,2025-01-22 22:41:51,0.0065,Linear,,,76.64
Wisard,2025-01-22 22:41:51,0.0734,Scatter Code,10,120,37.85
Wisard,2025-01-22 22:48:51,0.0040,Distributive,,,88.79
Wisard,2025-01-22 22:48:51,0.0048,Gaussian,,,89.25
Wisard,2025-01-22 22:48:51,0.0090,Linear,,,76.17
Wisard,2025-01-22 22:48:51,0.0769,Scatter Code,10,140,37.85
Wisard,2025-01-22 22:56:13,0.0083,Distributive,,,89.25
Wisard,2025-01-22 22:56:13,0.0064,Gaussian,,,83.18
Wisard,2025-01-22 22:56:13,0.0063,Linear,,,76.17
Wisard,2025-01-22 22:56:13,0.0904,Scatter Code,10,160,37.85
Wisard,2025-01-22 23:04:30,0.0072,Distributive,,,87.85
Wisard,2025-01-22 23:04:30,0.0055,Gaussian,,,85.51
Wisard,2025-01-22 23:04:30,0.0054,Linear,,,72.9
Wisard,2025-01-22 23:04:30,0.1013,Scatter Code,10,180,37.85
Wisard,2025-01-22 23:13:43,0.0175,Distributive,,,89.72
Wisard,2025-01-22 23:13:43,0.0046,Gaussian,,,84.11
Wisard,2025-01-22 23:13:43,0.0071,Linear,,,71.96
Wisard,2025-01-22 23:13:43,0.1061,Scatter Code,10,200,37.85
Wisard,2025-01-22 23:15:24,0.0056,Distributive,,,90.19
Wisard,2025-01-22 23:15:24,0.0040,Gaussian,,,80.84
Wisard,2025-01-22 23:15:24,0.0039,Linear,,,72.43
Wisard,2025-01-22 23:15:24,0.0115,Scatter Code,20,20,50.93
Wisard,2025-01-22 23:17:55,0.0099,Distributive,,,86.92
Wisard,2025-01-22 23:17:55,0.0068,Gaussian,,,84.58
Wisard,2025-01-22 23:17:55,0.0056,Linear,,,77.57
Wisard,2025-01-22 23:17:55,0.0257,Scatter Code,20,40,51.4
Wisard,2025-01-22 23:21:21,0.0061,Distributive,,,91.12
Wisard,2025-01-22 23:21:21,0.0117,Gaussian,,,83.64
Wisard,2025-01-22 23:21:21,0.0083,Linear,,,71.96
Wisard,2025-01-22 23:21:22,0.0571,Scatter Code,20,60,50.93
