model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 22:16:18,0.2342,Distributive,,,74.49
Wisard,2025-01-22 22:16:19,0.8752,Gaussian,,,58.93
Wisard,2025-01-22 22:16:41,22.4156,Linear,,,55.49
Wisard,2025-01-22 22:17:23,42.3645,Scatter Code,10,20,55.13
Wisard,2025-01-22 22:18:01,0.2608,Distributive,,,76.72
Wisard,2025-01-22 22:18:02,1.0800,Gaussian,,,58.0
Wisard,2025-01-22 22:18:24,22.3041,Linear,,,55.51
Wisard,2025-01-22 22:19:09,44.7313,Scatter Code,10,20,55.13
Wisard,2025-01-22 22:19:55,0.2375,Distributive,,,76.03
Wisard,2025-01-22 22:19:56,0.9322,Gaussian,,,57.45
Wisard,2025-01-22 22:20:18,22.4707,Linear,,,55.49
Wisard,2025-01-22 22:21:47,88.8403,Scatter Code,10,40,55.13
Wisard,2025-01-22 22:22:38,0.2394,Distributive,,,76.87
Wisard,2025-01-22 22:22:39,1.1030,Gaussian,,,58.46
Wisard,2025-01-22 22:23:00,20.7026,Linear,,,55.49
Wisard,2025-01-22 22:25:14,134.2753,Scatter Code,10,60,55.13
Wisard,2025-01-22 22:26:16,0.2373,Distributive,,,75.56
Wisard,2025-01-22 22:26:17,1.2965,Gaussian,,,59.44
Wisard,2025-01-22 22:26:37,20.3179,Linear,,,55.49
Wisard,2025-01-22 22:29:29,171.6317,Scatter Code,10,80,55.12
Wisard,2025-01-22 22:30:50,0.3440,Distributive,,,74.07
Wisard,2025-01-22 22:30:51,1.1766,Gaussian,,,57.96
Wisard,2025-01-22 22:31:13,21.3597,Linear,,,55.49
Wisard,2025-01-22 22:34:52,219.0971,Scatter Code,10,100,55.13
Wisard,2025-01-22 22:36:13,0.2479,Distributive,,,75.1
Wisard,2025-01-22 22:36:14,0.8463,Gaussian,,,57.44
Wisard,2025-01-22 22:36:34,19.9211,Linear,,,55.49
Wisard,2025-01-22 22:40:47,252.5730,Scatter Code,10,120,55.13
Wisard,2025-01-22 22:42:46,0.2421,Distributive,,,74.81
Wisard,2025-01-22 22:42:46,0.8683,Gaussian,,,56.6
Wisard,2025-01-22 22:43:07,20.8272,Linear,,,55.5
Wisard,2025-01-22 22:47:54,286.3879,Scatter Code,10,140,55.13
Wisard,2025-01-22 22:49:25,0.2364,Distributive,,,74.07
Wisard,2025-01-22 22:49:26,1.0569,Gaussian,,,56.38
Wisard,2025-01-22 22:49:46,19.8638,Linear,,,55.49
Wisard,2025-01-22 22:55:08,321.4472,Scatter Code,10,160,55.12
Wisard,2025-01-22 22:56:54,0.2622,Distributive,,,74.71
Wisard,2025-01-22 22:56:54,0.7394,Gaussian,,,57.48
Wisard,2025-01-22 22:57:14,19.8742,Linear,,,55.49
Wisard,2025-01-22 23:03:17,362.6665,Scatter Code,10,180,55.13
Wisard,2025-01-22 23:05:14,0.2574,Distributive,,,75.11
Wisard,2025-01-22 23:05:15,1.0203,Gaussian,,,58.52
Wisard,2025-01-22 23:05:35,20.1103,Linear,,,55.49
Wisard,2025-01-22 23:12:23,408.8334,Scatter Code,10,200,55.13
Wisard,2025-01-22 23:14:00,0.2350,Distributive,,,73.6
Wisard,2025-01-22 23:14:01,1.0167,Gaussian,,,59.79
Wisard,2025-01-22 23:14:22,20.7027,Linear,,,55.51
Wisard,2025-01-22 23:15:06,43.8632,Scatter Code,20,20,55.12
Wisard,2025-01-22 23:15:45,0.2336,Distributive,,,75.39
Wisard,2025-01-22 23:15:46,0.7475,Gaussian,,,59.24
Wisard,2025-01-22 23:16:07,20.8119,Linear,,,55.5
Wisard,2025-01-22 23:17:32,84.8643,Scatter Code,20,40,55.12
Wisard,2025-01-22 23:18:26,0.2455,Distributive,,,74.85
Wisard,2025-01-22 23:18:27,0.9161,Gaussian,,,57.16
Wisard,2025-01-22 23:18:47,19.9375,Linear,,,55.51
Wisard,2025-01-22 23:20:51,124.0951,Scatter Code,20,60,55.13
