model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:10:11,0.3195,Iris,Distributive,,,0.8200
DWN,2025-01-27 22:10:11,0.3303,Iris,Distributive,,,0.9200
DWN,2025-01-27 22:10:11,0.3567,Iris,Distributive,,,0.7838
DWN,2025-01-27 22:10:11,0.3740,Iris,Distributive,,,0.8108
DWN,2025-01-27 22:10:11,0.0497,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:11,0.0477,Iris,Distributive,,,0.9200
DWN,2025-01-27 22:10:11,0.0360,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:11,0.0675,Iris,Distributive,,,0.8018
DWN,2025-01-27 22:10:11,0.0428,Iris,Distributive,,,0.8600
DWN,2025-01-27 22:10:11,0.0343,Iris,Distributive,,,0.9200
DWN,2025-01-27 22:10:11,0.0883,Iris,Distributive,,,0.7928
DWN,2025-01-27 22:10:11,0.0446,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:11,0.0640,Iris,Distributive,,,0.8198
DWN,2025-01-27 22:10:11,0.0339,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:11,0.0460,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:11,0.0354,Iris,Distributive,,,0.9200
DWN,2025-01-27 22:10:11,0.0812,Iris,Distributive,,,0.8198
DWN,2025-01-27 22:10:11,0.0508,Iris,Distributive,,,0.8288
DWN,2025-01-27 22:10:11,0.0322,Iris,Distributive,,,0.9000
DWN,2025-01-27 22:10:11,0.0418,Iris,Distributive,,,0.8400
DWN,2025-01-27 22:10:11,0.0691,Iris,Distributive,,,0.8378
DWN,2025-01-27 22:10:11,0.0386,Iris,Distributive,,,0.8600
DWN,2025-01-27 22:10:11,0.0850,Iris,Distributive,,,0.8108
DWN,2025-01-27 22:10:11,0.0527,Iris,Distributive,,,0.9000
DWN,2025-01-27 22:10:11,0.0369,Iris,Distributive,,,0.9200
DWN,2025-01-27 22:10:11,0.0637,Iris,Distributive,,,0.8288
DWN,2025-01-27 22:10:12,0.0351,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:12,0.0736,Iris,Distributive,,,0.8559
DWN,2025-01-27 22:10:12,0.0733,Iris,Distributive,,,0.9000
DWN,2025-01-27 22:10:12,0.0596,Iris,Distributive,,,0.8108
DWN,2025-01-27 22:10:12,0.0389,Iris,Gaussian,,,0.8200
DWN,2025-01-27 22:10:12,0.0473,Iris,Distributive,,,0.9400
DWN,2025-01-27 22:10:12,0.0743,Iris,Distributive,,,0.8288
DWN,2025-01-27 22:10:12,0.0370,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0704,Iris,Distributive,,,0.7928
DWN,2025-01-27 22:10:12,0.0557,Iris,Distributive,,,0.9600
DWN,2025-01-27 22:10:12,0.0350,Iris,Gaussian,,,0.9400
DWN,2025-01-27 22:10:12,0.0722,Iris,Distributive,,,0.7748
DWN,2025-01-27 22:10:12,0.0321,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0656,Iris,Distributive,,,0.8288
DWN,2025-01-27 22:10:12,0.0503,Iris,Gaussian,,,0.9400
DWN,2025-01-27 22:10:12,0.0377,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0761,Iris,Distributive,,,0.8198
DWN,2025-01-27 22:10:12,0.0452,Iris,Gaussian,,,1.0000
DWN,2025-01-27 22:10:12,0.0390,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0726,Iris,Distributive,,,0.8288
DWN,2025-01-27 22:10:12,0.0314,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0657,Iris,Distributive,,,0.8468
DWN,2025-01-27 22:10:12,0.0501,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0401,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0697,Iris,Gaussian,,,0.8198
DWN,2025-01-27 22:10:12,0.0445,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0370,Iris,Gaussian,,,0.9800
